date,query,query_category,page,title,device,country,language,referrer,user_id,session_id,position,impressions,clicks,ctr,dwell_time_s,bounce,serp_features,is_brand
2025-06-23,best way to climate change,informational,https://blog.example.com/lsrvmpasg/ctgn,Best Way To Climate Change – Ultimate Guide,desktop,CA,en,google_news,u_762b4f35,s_32fc87ff,9,4,2,0.5,109,False,none,False
2025-06-23,best way to climate change,informational,https://news.example.com/tmgykeoc/kyrn,Best Way To Climate Change – Reviews,mobile,GB,en-US,google_discover,u_26610873,s_5036fa50,23,7,1,0.1429,146,False,none,False
2025-06-23,best way to climate change,informational,https://blog.example.com/hhvt/zdpzzq/jmlrtomgmw,Best Way To Climate Change – Reviews,tablet,US,en-GB,google_images,u_4c152365,s_fb5261c3,27,1,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://shop.example.com/rvudg/vedarclu/fpmzqwzbir,Best Way To Climate Change | Official Site,desktop,BR,en,google_discover,u_49930b3d,s_790bccc4,33,3,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://news.example.com/msgwgoyhi/arhxbfsls/ttnvgt,Best Way To Climate Change | Official Site,desktop,US,en,google,u_9c9d1151,s_7f312d66,18,3,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://blog.example.com/pvoel/uiaoox/ocmiydrwdy,Best Way To Climate Change | Docs,desktop,FR,en,google_news,u_5c1d817d,s_f73a959c,5,3,1,0.3333,82,False,none,False
2025-06-23,best way to climate change,informational,https://blog.example.com/krbivugolu/dmnebvqmum/koyeueo,Best Way To Climate Change | Pricing,mobile,GB,en,google_discover,u_a4597d20,s_74c116f8,43,1,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://support.example.com/zraquur/ukmvizhvou,Best Way To Climate Change,mobile,US,en,google_images,u_8b407a72,s_3aea826c,5,1,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://blog.example.com/uexkkkod/hqfgjfck,Best Way To Climate Change | Pricing,desktop,IN,en,google_discover,u_1442b5b0,s_6b44daec,26,6,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://shop.example.com/anju/efrri/mwukbakrsn,Best Way To Climate Change – Ultimate Guide,mobile,JP,en-US,google_images,u_e5dbd9ce,s_4edd09bf,46,3,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://www.example.com/lzmn,Best Way To Climate Change – Reviews,desktop,US,en,google_images,u_31a75ecc,s_b98c61d0,3,3,1,0.3333,60,False,none,False
2025-06-23,best way to climate change,informational,https://docs.example.com/ednj/hecivztbab/nzapgcoj,Best Way To Climate Change | Pricing,mobile,DE,en,google_images,u_64204001,s_fb1c3bb0,22,1,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://blog.example.com/zhymekdwq/ykoaciz/tikkhuyyj,Best Way To Climate Change,tablet,US,fr,google_news,u_b3f7067b,s_88b55c5d,22,4,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://www.example.com/dzilmuf/ibsghzvk,Best Way To Climate Change | Pricing,desktop,BR,en,google,u_0384e819,s_7fb4d2b7,10,1,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://www.example.com/kfnmsz/txixaoruka/oedgzu,Best Way To Climate Change | Docs,mobile,FR,en,google,u_4bdd73e7,s_99b531a1,3,3,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://www.example.com/ghretdeo/lnqsrpplre/leegvakaze,Best Way To Climate Change | Official Site,mobile,GB,en,google,u_8e84398d,s_90ca4e16,29,7,0,0.0,0,True,none,False
2025-06-23,best way to climate change,informational,https://support.example.com/vroydscv/olzjerxd,Best Way To Climate Change – Ultimate Guide,mobile,IN,en,google_discover,u_e08dd4e1,s_f7d4ae76,28,2,1,0.5,134,False,none,False
2025-06-23,best way to climate change,informational,https://docs.example.com/agtdoibgn,Best Way To Climate Change – Ultimate Guide,desktop,US,en-GB,google_images,u_18b97fda,s_55ee79b7,18,2,1,0.5,149,False,none,False
2025-06-23,best way to climate change,informational,https://blog.example.com/xgpertsfic,Best Way To Climate Change – Ultimate Guide,desktop,US,en,google_images,u_7ad5abe4,s_25d55b73,21,5,1,0.2,122,False,none,False
2025-06-23,best way to climate change,informational,https://news.example.com/vvnhso,Best Way To Climate Change | Official Site,desktop,US,en-US,google_discover,u_2a648670,s_b6e58433,14,1,0,0.0,0,True,none,False
2025-06-23,best way to coffee,informational,https://shop.example.com/rpdbfbohbo/drycru,Best Way To Coffee – Ultimate Guide,desktop,US,en-GB,google,u_0d862a4a,s_9ebf5339,14,2,0,0.0,0,True,faq,False
2025-06-23,best way to coffee,informational,https://news.example.com/hmlq/ozpia,Best Way To Coffee – Reviews,desktop,JP,en-GB,google_news,u_3b1c2afc,s_58a55183,7,5,0,0.0,0,True,faq,False
2025-06-23,best way to coffee,informational,https://blog.example.com/flmgmct/medwctx/opnqadwpmd,Best Way To Coffee | Official Site,desktop,GB,en,google_news,u_4e14c57a,s_6e4598c6,12,3,0,0.0,0,True,faq,False
2025-06-23,best way to fpga,informational,https://news.example.com/fvpgfgs/wuiblup/zmpa,Best Way To Fpga – Reviews,desktop,US,en,google_discover,u_842f8c86,s_0fd1fdd2,46,2,0,0.0,0,True,faq,False
2025-06-23,best way to laptop,informational,https://blog.example.com/bsyhjyxc,Best Way To Laptop | Docs,mobile,US,en-US,google,u_071a1da2,s_cecf4ce8,13,1,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://blog.example.com/pgnoax,Best Way To Laptop | Docs,mobile,CA,en,google,u_87bcc24a,s_22256867,23,5,1,0.2,133,False,image,False
2025-06-23,best way to laptop,informational,https://docs.example.com/ntsutu/lsloo/vjvxwu,Best Way To Laptop | Docs,desktop,US,en,google,u_2543667b,s_b71626f0,25,4,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://shop.example.com/abik/yyvalsd/zgzhiar,Best Way To Laptop | Docs,mobile,FR,en,google,u_74298116,s_fdc83514,33,2,1,0.5,113,False,image,False
2025-06-23,best way to laptop,informational,https://shop.example.com/pultir/nouqo/vesgkpagqm,Best Way To Laptop | Official Site,desktop,JP,en-US,google_news,u_00152c58,s_d034d65c,14,1,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://blog.example.com/rlbzrlwkj/phnteo/memudz,Best Way To Laptop – Reviews,mobile,GB,en,google,u_c9235465,s_e32777a7,21,2,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://blog.example.com/mqhhsd/wsixqlkoq,Best Way To Laptop | Official Site,mobile,US,en-GB,google_news,u_9887af01,s_3d962cfd,38,2,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://news.example.com/roioccwvn,Best Way To Laptop | Official Site,desktop,IN,en,google,u_6f58214c,s_36e87c1e,3,1,1,1.0,93,False,image,False
2025-06-23,best way to laptop,informational,https://shop.example.com/mxoqso,Best Way To Laptop | Official Site,mobile,IN,en,google_discover,u_df027215,s_172b0922,8,6,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://blog.example.com/efawx/ualuurrmu,Best Way To Laptop | Docs,mobile,US,en-GB,google_images,u_c28001e3,s_17e85ecc,40,1,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://shop.example.com/phxkuuka/xzjvncyoc,Best Way To Laptop | Docs,desktop,DE,fr,google_discover,u_ffe9ec9a,s_77fe955d,5,4,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://docs.example.com/fsjuz,Best Way To Laptop | Docs,desktop,IN,en,google_images,u_2a49b5fe,s_b9c14556,16,1,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://shop.example.com/chpjrlbn,Best Way To Laptop | Docs,desktop,US,en,google_discover,u_ced3fa81,s_b3a09a14,23,3,1,0.3333,63,False,image,False
2025-06-23,best way to laptop,informational,https://news.example.com/srtenjrzva/tzdfhks,Best Way To Laptop | Official Site,mobile,CA,en,google_news,u_7392bb44,s_9f898e47,19,2,1,0.5,129,False,image,False
2025-06-23,best way to laptop,informational,https://docs.example.com/rqsvbpizey/roesdaf,Best Way To Laptop – Ultimate Guide,desktop,DE,en,google_news,u_e7d4feb8,s_6d25f9d0,23,3,1,0.3333,106,False,image,False
2025-06-23,best way to laptop,informational,https://news.example.com/stbq,Best Way To Laptop | Docs,mobile,US,en-GB,google_images,u_db36b99d,s_af27ce88,2,3,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://support.example.com/sbmnz/mvww/zhauj,Best Way To Laptop,desktop,GB,en,google_discover,u_8ef5fb66,s_f2f6875f,5,5,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://shop.example.com/iuokxzdc/fzzzion,Best Way To Laptop | Docs,mobile,IN,en-US,google,u_c9a06d8f,s_1ed295cc,15,10,1,0.1,65,False,image,False
2025-06-23,best way to laptop,informational,https://docs.example.com/garrfvau/tktgmgaban,Best Way To Laptop | Pricing,mobile,JP,en,google_news,u_1f406f8e,s_eea1193e,40,1,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://blog.example.com/pebhsr/odvphdhta,Best Way To Laptop – Reviews,desktop,US,de,google_images,u_2f03893d,s_96aa2b04,36,11,1,0.0909,128,False,image,False
2025-06-23,best way to laptop,informational,https://news.example.com/xswyfutbd,Best Way To Laptop,mobile,US,en,google_discover,u_4b7fd205,s_2a75571b,34,2,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://blog.example.com/htsezxztu,Best Way To Laptop – Ultimate Guide,tablet,US,en-US,google_discover,u_c75d19de,s_0c64076b,5,5,1,0.2,114,False,image,False
2025-06-23,best way to laptop,informational,https://www.example.com/tfck/ttopopn,Best Way To Laptop,mobile,US,en,google_news,u_808bf192,s_7d1fab0b,14,3,1,0.3333,74,False,image,False
2025-06-23,best way to laptop,informational,https://www.example.com/ifpzn/atwukvybat,Best Way To Laptop | Pricing,mobile,GB,en,google_discover,u_23bfb2ba,s_447fc075,29,3,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://support.example.com/lycrouzlgz/nensevxgfe/xqccukfkn,Best Way To Laptop – Reviews,desktop,JP,en,google_images,u_d5dd6705,s_f5ddb267,29,1,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://www.example.com/xsgmvz,Best Way To Laptop – Reviews,mobile,US,en,google_news,u_88b28d85,s_dc5957b8,11,8,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://shop.example.com/sfcthbnjjx,Best Way To Laptop – Reviews,desktop,DE,en-GB,google_news,u_7f9dbc8b,s_8bb3eb1e,40,1,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://support.example.com/cpotob,Best Way To Laptop – Ultimate Guide,desktop,CA,en-GB,google_news,u_f04a05b6,s_76f3b8f7,30,1,0,0.0,0,True,image,False
2025-06-23,best way to laptop,informational,https://www.example.com/vkcmmpz/feqbekcfp/rfhbhpw,Best Way To Laptop – Ultimate Guide,desktop,IN,en,google_discover,u_1e2da83f,s_2fb4dccb,41,4,0,0.0,0,True,image,False
2025-06-23,best way to redis,informational,https://www.example.com/ozwqtd,Best Way To Redis – Reviews,desktop,CA,en-GB,google_images,u_b1856053,s_ae17c1eb,27,4,2,0.5,120,False,faq,False
2025-06-23,best way to redis,informational,https://www.example.com/jeuhicwo,Best Way To Redis – Reviews,tablet,US,fr,google_news,u_f6876b74,s_7c43961f,17,2,0,0.0,0,True,faq,False
2025-06-23,best way to redis,informational,https://blog.example.com/gmdxjwsjn/uwwlrucumo,Best Way To Redis | Docs,mobile,US,en,google,u_8aa7a27f,s_617e91c6,34,4,0,0.0,0,True,faq,False
2025-06-23,best way to redis,informational,https://support.example.com/wlleh/wuzf,Best Way To Redis,mobile,US,en,google_discover,u_f89c1ced,s_7678fed7,4,2,0,0.0,0,True,faq,False
2025-06-23,best way to redis,informational,https://docs.example.com/xatnrnn/xvzjevd,Best Way To Redis | Docs,desktop,CA,en,google_images,u_d38e315c,s_953bfbb1,10,1,0,0.0,0,True,faq,False
2025-06-23,best way to redis,informational,https://www.example.com/odjueymng/hckyddzf,Best Way To Redis | Official Site,mobile,US,en-GB,google_images,u_ad4c0fc9,s_3b9c3a8e,24,5,0,0.0,0,True,faq,False
2025-06-23,best way to redis,informational,https://support.example.com/obtzy/dbapaivpgd,Best Way To Redis – Ultimate Guide,mobile,US,en,google_images,u_1931ff51,s_6421d966,7,1,0,0.0,0,True,faq,False
2025-06-23,buy c++,transactional,https://support.example.com/xuwdtzpqf,Buy C++,mobile,JP,fr,google,u_31deeeaf,s_017c6bbe,24,1,0,0.0,0,True,sitelinks,False
2025-06-23,buy climate change,transactional,https://shop.example.com/pcback/xaqun,Buy Climate Change,desktop,JP,en-US,google_discover,u_18f47327,s_95420520,15,2,1,0.5,92,False,faq,False
2025-06-23,buy coffee,transactional,https://news.example.com/hjxbpnqt/tknakhil,Buy Coffee – Ultimate Guide,tablet,US,en,google_discover,u_9fc2966e,s_5a48a76d,7,1,0,0.0,0,True,video,False
2025-06-23,buy coffee,transactional,https://www.example.com/gqhu/abvdxj,Buy Coffee,mobile,US,en,google_images,u_5c8cf49e,s_0ea5d3bd,29,1,0,0.0,0,True,video,False
2025-06-23,buy coffee,transactional,https://www.example.com/pfxvzfsw,Buy Coffee | Pricing,desktop,US,en,google_discover,u_1311f77d,s_84c98968,8,4,1,0.25,43,False,video,False
2025-06-23,buy fpga,transactional,https://www.example.com/oiugxcrnrb,Buy Fpga – Ultimate Guide,mobile,DE,en,google_discover,u_1aee622b,s_23052f27,31,1,0,0.0,0,True,video,False
2025-06-23,buy headphones,transactional,https://shop.example.com/yurun,Buy Headphones – Ultimate Guide,mobile,US,en,google_news,u_c026f211,s_0b2027cd,8,2,1,0.5,62,True,faq,False
2025-06-23,buy python,transactional,https://www.example.com/njjskdpvx/lqcaxzyq,Buy Python – Ultimate Guide,desktop,US,fr,google_discover,u_aeefb344,s_38fecce8,23,2,0,0.0,0,True,shopping,False
2025-06-23,coffee amazon,informational,https://blog.example.com/sxrwjunesr/jjuhnfxz/howvortv,Coffee Amazon – Reviews,mobile,IN,en,google,u_1093505d,s_cac2e455,13,8,0,0.0,0,True,video,False
2025-06-23,coffee amazon,informational,https://support.example.com/oqjk/vcvfbwll/nxouxpb,Coffee Amazon | Pricing,desktop,CA,en,google_news,u_8dfbfb03,s_c5ee6022,48,2,0,0.0,0,True,video,False
2025-06-23,coffee directions,local,https://www.example.com/kzyrc/bzevmdzlh,Coffee Directions | Pricing,mobile,AU,en,google_images,u_07c82bf7,s_049d9925,4,2,0,0.0,0,True,sitelinks,False
2025-06-23,coffee facebook login,navigational,https://news.example.com/awozwhjdq,Coffee Facebook Login | Official Site,desktop,IN,en,google,u_d7927286,s_ab8dd22c,43,7,0,0.0,0,True,sitelinks,True
2025-06-23,coupon c++,transactional,https://support.example.com/xzgv,Coupon C++ – Ultimate Guide,desktop,US,en,google,u_60594115,s_4340543c,17,3,0,0.0,0,True,video,False
2025-06-23,coupon credit card,transactional,https://shop.example.com/nuhc/bllavusah,Coupon Credit Card – Reviews,mobile,US,en-US,google_discover,u_ddbc686c,s_64a546c3,4,2,2,1.0,49,True,localpack,False
2025-06-23,coupon insurance,transactional,https://docs.example.com/carhh/hnnlnr,Coupon Insurance – Ultimate Guide,mobile,CA,en,google_news,u_8cb9b61d,s_c2249791,2,3,0,0.0,0,True,localpack,False
2025-06-23,coupon insurance,transactional,https://support.example.com/wqipaya/nkrlzcf/ptuh,Coupon Insurance | Official Site,mobile,FR,en,google_images,u_9fa3e9b2,s_87e2379e,10,7,0,0.0,0,True,localpack,False
2025-06-23,coupon pizza,transactional,https://blog.example.com/kltpl,Coupon Pizza | Pricing,mobile,CA,en,google_images,u_2127817c,s_8a3dba55,7,7,1,0.1429,60,False,shopping,False
2025-06-23,coupon python,transactional,https://docs.example.com/vobajtbz/buaqxv,Coupon Python – Ultimate Guide,desktop,CA,en,google,u_b72b972c,s_6e618be8,14,5,1,0.2,74,False,news,False
2025-06-23,discount c++,transactional,https://blog.example.com/sdtqmtt/aygdqwk,Discount C++ | Docs,desktop,FR,en,google,u_a17d1e73,s_f4df2c7d,2,3,0,0.0,0,True,none,False
2025-06-23,discount coffee,transactional,https://news.example.com/xpsv,Discount Coffee | Official Site,mobile,FR,en,google_images,u_3da48479,s_1b98b504,24,2,1,0.5,102,False,none,False
2025-06-23,discount insurance,transactional,https://support.example.com/rfqrgxm/utvvuxyn,Discount Insurance | Official Site,mobile,US,en-US,google_news,u_a9370562,s_df5e1738,17,2,0,0.0,0,True,shopping,False
2025-06-23,discount laptop,transactional,https://blog.example.com/kqaicfdj/omagpify/rdupxzis,Discount Laptop | Official Site,mobile,US,en,google_discover,u_9d7a15b9,s_be35dc26,46,2,0,0.0,0,True,video,False
2025-06-23,discount laptop,transactional,https://news.example.com/xifbqcxq/dkdkmtjekp,Discount Laptop | Docs,mobile,IN,en,google_images,u_0dfdded5,s_4497b181,16,3,0,0.0,0,True,video,False
2025-06-23,discount pizza,transactional,https://www.example.com/qjqpqv,Discount Pizza | Official Site,mobile,US,en,google_discover,u_90b15230,s_30b835b6,27,3,1,0.3333,105,False,faq,False
2025-06-23,fpga amazon,informational,https://shop.example.com/mjrwos/ewmlvm/ceorqzfyh,Fpga Amazon – Reviews,desktop,US,en-US,google_news,u_0d68d77d,s_5451ec53,10,6,0,0.0,0,True,shopping,False
2025-06-23,fpga gmail,informational,https://news.example.com/lnyilbeus/kutdkg/axkqtq,Fpga Gmail | Docs,desktop,US,en-GB,google_images,u_f0a0b9f7,s_75b94cc9,24,4,0,0.0,0,True,shopping,True
2025-06-23,fpga wikipedia,informational,https://news.example.com/uscktvoh/nfydyx/irwojawiu,Fpga Wikipedia | Official Site,mobile,IN,en,google_images,u_2fffb183,s_30143c06,45,5,0,0.0,0,True,shopping,False
2025-06-23,fpga youtube,informational,https://shop.example.com/zmyjinnvhf/ursfx,Fpga Youtube | Docs,desktop,US,en,google_discover,u_487ff769,s_2f37b565,25,3,1,0.3333,129,False,shopping,False
2025-06-23,gmail,informational,https://docs.example.com/tfilvkv/shkeuth/dnpcwbbq,Gmail | Official Site,desktop,AU,en-US,google_news,u_7cdfb63a,s_e2eeae75,18,2,0,0.0,0,True,faq,True
2025-06-23,guide to python,informational,https://docs.example.com/cxcf,Guide To Python – Reviews,mobile,US,en,google_discover,u_a845be50,s_96e14e8a,23,1,0,0.0,0,True,faq,False
2025-06-23,guide to python,informational,https://blog.example.com/mxwi/ycspsa/jrgee,Guide To Python – Reviews,desktop,US,en,google_discover,u_966faa39,s_213a8e67,30,2,0,0.0,0,True,faq,False
2025-06-23,guide to ssd,informational,https://news.example.com/psazfjc/tlzdwuli,Guide To Ssd | Official Site,desktop,CA,en,google_news,u_a95d7188,s_a0e6d5e0,40,5,0,0.0,0,True,none,False
2025-06-23,headphones youtube,informational,https://support.example.com/bnimoujsku/hjdfq,Headphones Youtube – Reviews,mobile,CA,en,google_discover,u_bd03a7c5,s_cfb69740,1,8,2,0.25,110,False,faq,False
2025-06-23,how to climate change,informational,https://blog.example.com/adjidg/tpqwq,How To Climate Change | Official Site,desktop,US,en,google,u_e8b03719,s_de8c3929,44,1,0,0.0,0,True,news,False
2025-06-23,how to climate change,informational,https://support.example.com/gnhegygi,How To Climate Change,desktop,JP,en,google,u_199c6bcc,s_f82b833a,24,2,0,0.0,0,True,news,False
2025-06-23,how to climate change,informational,https://www.example.com/iznooqswxi/pxzwyqo/bcohmeo,How To Climate Change | Docs,mobile,US,en-GB,google_news,u_4e608e5f,s_0242380f,3,3,1,0.3333,60,True,news,False
2025-06-23,how to climate change,informational,https://shop.example.com/mysn/gbpjmkmf,How To Climate Change,desktop,US,de,google_discover,u_4b80cac9,s_610ccb2a,30,2,1,0.5,99,False,news,False
2025-06-23,how to redis,informational,https://www.example.com/vubsamts,How To Redis | Docs,desktop,BR,en,google_discover,u_0c3876f0,s_5c1bb91d,22,6,1,0.1667,118,False,shopping,False
2025-06-23,near me c++,local,https://blog.example.com/frfxa,Near Me C++ – Ultimate Guide,mobile,GB,en-US,google,u_cd7ade14,s_5fd84f9f,34,2,0,0.0,0,True,shopping,False
2025-06-23,near me credit card,local,https://www.example.com/kafczu/fkbrdbbhxo,Near Me Credit Card – Reviews,mobile,CA,en,google_news,u_e5edda86,s_d90523ac,12,2,0,0.0,0,True,image,False
2025-06-23,pizza youtube,informational,https://docs.example.com/kkya,Pizza Youtube,mobile,FR,en,google_discover,u_0b39dd15,s_d04f5454,5,6,2,0.3333,77,False,none,False
